year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
2010,SUR,2.5,-3,4368398048,529126,7.15,0,0
2010,URY,4.5,8,40284481652,3359273,7.16,0,0
2010,VEN,3.5,-1,393192000000,28439942,7.11,58.99999935,0
2010,KHM,2.5,-7,11242275199,14312205,0.77,7.999999988,0
2010,CHN,4.5,7,6087160000000,1337705000,4.5,7086.79205,0
2010,PRK,4,5,21731104173,24548840,2.9,0,0
2010,IDN,1.5,-8,755094000000,241834226,5.61,1294.000306,0
2010,LAO,6,7,7127792630,6249168,0.71,0,0
2010,MYS,4,6,255017000000,28208028,3.25,4.00000002,0
2010,MNG,1.5,-7,7189481824,2719902,6.55,11.00000024,0
2010,PHL,5,9,208369000000,93966784,3.61,41.00000008,1
2010,THA,3.5,5,341105000000,67195032,0.62,297.0000002,1
2010,TLS,3.5,1,881826900,1093517,3.3,0,0
2010,VNM,4,5,115932000000,87967655,1.11,211.0000001,0
2010,AFG,3,-5,15856574731,29185511,11.52,349.9999974,1
2010,ARM,2.5,0,9260284938,2877314,19.01,1.241965876,0
2010,AZE,3.5,5,52909294792,9054332,5.63,3,0
2010,BGD,2.5,-6,115279000000,147575433,3.38,107.0000001,0
2010,BTN,4,5,1547991318,685502,3.32,0,0
2010,GEO,1,-7,12243505583,3786695,20.2,2.000000001,0
2010,IND,2.5,-6,1675620000000,1234281163,5.65,990.4368701,1
2010,KAZ,3.5,3,148047000000,16321872,5.77,5.445280189,0
2010,KGZ,5,7,4794357795,5447900,8.64,10.99999993,0
2010,MDV,6.5,10,2588176055,365730,10.28,0,0
2010,MMR,1.5,2,51518307518,50600827,0.79,45.00000004,1
2010,NPL,1,-7,16002656434,27013207,1.88,149.9999992,0
2010,PAK,4.5,7,177166000000,179424643,0.65,2186.000015,1
2010,LKA,5,9,56725749222,20261738,4.78,36.99999998,0
2010,TJK,2,2,5642178580,7527397,10.85,75.00000014,1
2010,TKM,6,8,22583157895,5087211,4,0.951288028,0
2010,UZB,1.5,-9,46679875794,28562400,5.4,0.999999993,0
2010,IRN,3.5,-4,486808000000,73762519,13.52,19.99999912,1
2010,IRQ,1.5,-8,138517000000,29741977,8.34,0,1
2010,JOR,4.5,7,27133804225,7261541,12.5,2.00000005,0
2010,LBN,2.5,-7,38443907042,4953064,6.4,0,0
2010,OMN,7,9,56913065779,3041435,3.71,15.9999998,0
2010,SYR,2.5,-4,30106541769,21362541,8.61,0,0
